episode,episode_reward,nb_steps,duration,loss,mae,mean_q,mean_eps,ale.lives,reward_min,reward_max,reward_smooth,loss_smooth,q_smooth,eps_smooth
75,10.0,52278,,0.010909796,0.095502116,0.18525729,0.9688408,1.8771676300578035,0.0,1.0,,,,
76,7.0,52896,,0.009446742,0.08147718,0.16011012,0.9684484,1.93042071197411,0.0,1.0,,,,
77,19.0,53851,,0.00829124,0.072542645,0.14351676,0.9679768000000002,2.2052356020942407,0.0,1.0,,,,
78,17.0,54794,,0.0075135715,0.07100404,0.1410955,0.9674068,2.6733828207847297,0.0,1.0,,,,
79,12.0,55593,,0.0060258196,0.067781866,0.13409208,0.9668835999999998,1.948685857321652,0.0,1.0,,,,
80,9.0,56286,,0.0067741913,0.06670876,0.13072926,0.9664360000000002,1.8946608946608947,0.0,1.0,,,,
81,9.0,56791,,0.005858131,0.06407298,0.12673898,0.9660771999999996,2.017821782178218,0.0,1.0,,,,
82,8.0,57407,,0.0074585686,0.06759905,0.12822986,0.9657412,1.8603896103896105,0.0,1.0,,,,
83,11.0,58352,,0.0068129776,0.06547392,0.12398695,0.9652732,2.131216931216932,0.0,1.0,,,,
84,7.0,58751,,0.00628773,0.06433362,0.12158248,0.9648699999999998,2.2857142857142856,0.0,1.0,,,,
85,13.0,59524,,0.00592908,0.06363239,0.11877481,0.9645184,1.7063389391979302,0.0,1.0,,,,
86,9.0,60202,,0.0066398927,0.06460682,0.12044424,0.9640828,2.0530973451327434,0.0,1.0,,,,
87,4.0,60655,,0.0060160332,0.06382619,0.11645392,0.9637432,2.178807947019868,0.0,1.0,,,,
88,7.0,61044,,0.004706194,0.060951248,0.113875724,0.9634912,2.25706940874036,0.0,1.0,,,,
89,14.0,62046,,0.0061651063,0.06353158,0.11614522,0.9630736,1.8343313373253491,0.0,1.0,,,,
90,9.0,62654,,0.0056257085,0.06210785,0.11212321,0.9625899999999998,2.133223684210526,0.0,1.0,,,,
91,12.0,63828,,0.005675455,0.069866404,0.120707355,0.962056,1.6737649063032367,0.0,1.0,,,,
92,10.0,64443,,0.0053165453,0.07188045,0.12050455,0.9615196,2.221138211382114,0.0,1.0,,,,
93,3.0,64783,,0.0052384688,0.07321852,0.124447465,0.9612328000000002,2.1558823529411764,0.0,1.0,,,,
94,10.0,65296,,0.005814499,0.07251097,0.12303624,0.9609772,1.9415204678362568,0.0,1.0,,,,
95,14.0,66130,,0.0057220184,0.07675309,0.12815917,0.9605728,1.811750599520384,0.0,1.0,,,,
96,5.0,66481,,0.006052204,0.09634549,0.15338358,0.9602164,2.1054131054131053,0.0,1.0,,,,
97,9.0,66859,,0.0067500807,0.09754114,0.15191714,0.959998,2.2698412698412698,0.0,1.0,,,,
98,8.0,67495,,0.0058853873,0.09637035,0.14638315,0.9596944000000002,1.9465408805031448,0.0,1.0,,,,
99,8.0,68261,,0.0070401267,0.098424554,0.1509902,0.9592732,2.155352480417754,0.0,1.0,,,,
100,12.0,69080,,0.0052031362,0.09413943,0.1435654,0.958798,2.58974358974359,0.0,1.0,9.56,,,
101,5.0,69462,,0.0050434284,0.08591404,0.1317495,0.958438,2.272251308900524,0.0,1.0,9.55,,,
102,4.0,69982,,0.0057306974,0.08701072,0.13311519,0.9581668,2.253846153846154,0.0,1.0,9.52,,,
103,12.0,70702,,0.0062500755,0.08826126,0.1349981,0.9577948000000002,1.993055555555556,0.0,1.0,9.54,,,
104,11.0,71438,,0.005441306,0.08672022,0.13318183,0.957358,1.7146739130434785,0.0,1.0,9.54,,,
105,10.0,72191,,0.0056154714,0.08912676,0.13469952,0.9569116,2.0783532536520584,0.0,1.0,9.58,,,
106,12.0,72699,,0.0052759126,0.09942559,0.14368956,0.9565335999999998,1.7716535433070866,0.0,1.0,9.63,,,
107,5.0,73207,,0.004938002,0.09788921,0.14340816,0.9562288,2.204724409448819,0.0,1.0,9.6,,,
108,9.0,73915,,0.0058205305,0.09989157,0.14570211,0.955864,2.3545197740112997,0.0,1.0,9.58,,,
109,11.0,75050,,0.0060502025,0.10016708,0.14494093,0.9553108,1.9233480176211453,0.0,1.0,9.64,,,
110,8.0,75721,,0.0052261464,0.08845559,0.13554676,0.9547684,2.451564828614009,0.0,1.0,9.59,,,
111,5.0,76297,,0.004480457,0.08661887,0.12736893,0.954394,2.125,0.0,1.0,9.6,,,
112,8.0,76939,,0.005073588,0.087446906,0.12855801,0.9540292,1.8130841121495327,0.0,1.0,9.6,,,
113,6.0,77430,,0.0045112944,0.08642025,0.12882298,0.9536896,2.2362525458248474,0.0,1.0,9.54,,,
114,9.0,78179,,0.0053522117,0.09029992,0.13095535,0.9533176,2.1121495327102804,0.0,1.0,9.4,,,
115,17.0,79213,,0.004792851,0.09503267,0.13747153,0.9527824,2.277562862669245,0.0,1.0,9.49,,,
116,13.0,79869,,0.0058021466,0.096677765,0.13986395,0.9522748,2.0015243902439024,0.0,1.0,9.53,,,
117,18.0,81043,,0.006099659,0.09719476,0.14335911,0.9517264,1.8049403747870527,0.0,1.0,9.61,,,
118,7.0,81607,,0.006552719,0.08552289,0.13481416,0.9512056000000002,2.145390070921986,0.0,1.0,9.65,,,
119,5.0,82122,,0.008215666,0.08752883,0.1364962,0.9508816,2.100970873786408,0.0,1.0,9.56,,,
120,11.0,82832,,0.0058998293,0.08378244,0.12834485,0.9505144,2.1422535211267606,0.0,1.0,9.59,,,
121,8.0,83291,,0.0048301066,0.08203218,0.124687366,0.950164,2.178649237472767,0.0,1.0,9.65,,,
